Dist or Undist,Stat. Name,Date,Quarter,Flow (GPM),Flow(cfs),pH,EC(umhos),TDS(mg/L),TSS(mg/L),TSM(ml/L),Diss Fe (mg/L),Total Fe (mg/L),Diss Mn (mg/L),Total Mn (mg/L)
disturbed,W-11,04/14/99,Q2/99,,#VALUE!,7.3,,332,6,<0.1,0.26,0.82,0.52,0.58
disturbed,W-11,08/01/99,Q3/99,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,12/14/99,Q4/99,,#VALUE!,7.1,,381,2,<0.1,0.17,0.36,2.52,2.38
disturbed,W-11,01/29/00,Q1/00,75,0.167112299,6.9,,344,6,<0.1,0.36,0.69,1.04,1.03
disturbed,W-11,04/05/00,Q2/00,157,0.349821747,6.6,,421,1,<0.1,0.65,0.90,0.42,0.41
disturbed,W-11,08/01/00,Q3/00,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,11/07/00,Q4/00,287,0.639483066,5.4,,,2,<0.1,0.38,0.52,1.03,1.26
disturbed,W-11,01/05/01,Q1/01,342,0.762032086,6.9,,244,2,<0.1,0.09,0.33,0.02,0.02
disturbed,W-11,04/06/01,Q2/01,38,0.084670232,7.4,,222,< 1,<0.1,0.39,1.20,0.27,0.60
disturbed,W-11,09/08/01,Q3/01,14.3,0.031862745,6.7,,476,6,<0.1,1.20,1.98,2.05,1.90
disturbed,W-11,10/12/01,Q4/01,6054,13.48930481,7.9,,230,3,<0.1,0.05,0.33,0.02,0.08
disturbed,W-11,01/07/02,Q1/02,122,0.271836007,7.0,,256,< 1,<0.1,0.10,0.70,0.24,0.25
disturbed,W-11,04/10/02,Q2/02,797,1.775846702,6.9,,394,3,<0.1,0.18,0.42,0.15,0.17
disturbed,W-11,07/01/02,Q3/02,92,0.204991087,6.1,,674,15,<0.1,0.65,1.75,2.91,3.12
disturbed,W-11,10/25/02,Q4/02,13,0.028966132,6.6,,310,1,<0.1,0.18,0.88,0.02,0.07
disturbed,W-11,01/03/03,Q1/03,1473,3.282085561,7.0,,252,10,<0.1,0.08,0.05,0.05,0.10
disturbed,W-11,04/29/03,Q2/03,20,0.04456328,6.6,,378,6,<0.1,0.50,2.23,0.70,0.77
disturbed,W-11,08/01/03,Q3/03,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,12/29/03,Q4/03,44.3,0.098707665,6.5,,174,25,<0.1,0.71,2.45,0.14,0.15
disturbed,W-11,01/25/04,Q1/04,41.3,0.092023173,6.3,,258,21,<0.1,0.73,1.93,0.22,0.22
disturbed,W-11,04/26/04,Q2/04,2070,4.612299465,7.1,,204,5,<0.1,0.12,0.78,0.05,0.13
disturbed,W-11,07/08/04,Q3/04,87,0.193850267,6.9,,182,2,<0.1,0.20,0.95,0.00,0.04
disturbed,W-11,11/22/04,Q4/04,696,1.550802139,7.1,,282,8,<0.1,0.39,1.06,0.04,0.07
disturbed,W-11,01/14/05,Q1/05,663,1.477272727,6.7,,284,17,<0.1,0.07,0.52,0.07,0.09
disturbed,W-11,05/01/05,Q2/05,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,08/01/05,Q3/05,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,11/01/05,Q4/05,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,02/25/06,Q1/06,398,0.886809269,6.9,,108,14,<0.1,0.42,1.42,0.04,0.07
disturbed,W-11,05/01/06,Q2/06,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,08/01/06,Q3/06,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,12/30/06,Q4/06,No Flow Data,#VALUE!,6.3,,142,23,<0.1,0.62,1.82,0.03,0.06
disturbed,W-11,01/05/07,Q1/07,1.5,0.003342246,7.0,,124,12,0.1,0.23,1.09,0.03,0.04
disturbed,W-11,05/24/07,Q2/07,209,0.465686275,6.7,,240,3,< 0.1,0.61,1.18,0.11,0.09
disturbed,W-11,07/06/07,Q3/07,4333,9.654634581,7.4,,250,4,< 0.1,0.06,0.42,0.02,0.02
disturbed,W-11,12/13/07,Q4/07,117,0.260695187,6.6,,388,19,< 0.1,0.49,2.79,0.28,0.32
disturbed,W-11,02/16/08,Q1/08,644,1.434937611,7.2,,322,4,< 0.1,0.11,0.62,0.08,0.12
disturbed,W-11,04/04/08,Q2/08,1182,2.63368984,7.0,,304,12,< 0.1,0.11,0.52,0.12,0.15
disturbed,W-11,09/15/08,Q3/08,No Flow Data,#VALUE!,6.7,,328,16,< 0.1,0.45,2.45,0.37,0.43
disturbed,W-11,11/28/08,Q4/08,184,0.409982175,7.7,,346,16,< 0.1,0.10,0.87,0.10,0.13
disturbed,W-11,01/07/09,Q1/09,307,0.684046346,6.8,,374,36,< 0.1,0.11,0.92,0.13,0.19
disturbed,W-11,04/22/09,Q2/09,18,0.040106952,6.6,,234,83,< 0.1,0.40,7.58,0.59,0.92
disturbed,W-11,07/30/09,Q3/09,944,2.103386809,6.4,,138,30,< 0.1,0.71,2.36,0.03,0.05
disturbed,W-11,10/09/09,Q4/09,5967,13.29545455,7.0,,168,54,< 0.1,0.24,1.78,0.02,0.13
disturbed,W-11,01/29/10,Q1/10,251,0.559269162,7.2,,164,88,< 0.1,0.01,0.01,0.03,0.05
disturbed,W-11,06/10/10,Q2/10,No Flow Data,#VALUE!,6.6,,212,4,< 0.1,0.06,0.18,0.08,0.25
disturbed,W-11,08/01/10,Q3/10,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,12/31/10,Q4/10,0,0,6.5,,244,9,< 0.1,0.27,1.35,0.07,0.10
disturbed,W-11,02/01/11,Q1/11,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,04/26/11,Q2/11,30,0.06684492,6.4,,424,39,< 0.1,0.19,1.22,0.07,0.08
disturbed,W-11,08/01/11,Q3/11,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,12/06/11,Q4/11,No Flow Data,#VALUE!,6.5,,104,8,< 0.1,0.16,2.54,0.16,0.04
disturbed,W-11,01/11/12,Q1/12,0,0,6.3,,60,11,< 0.1,0.22,0.58,0.01,0.01
disturbed,W-11,06/15/12,Q2/12,436,0.971479501,6.3,,332,16,< 0.1,0.34,2.06,0.17,0.17
disturbed,W-11,12/28/12,Q4/12,184,0.409982175,6.8,,100,21,< 0.1,0.09,1.17,0.02,0.03
disturbed,W-11,02/15/13,Q1/13,3,0.006684492,7.1,,722,21,< 0.1,0.07,0.19,0.03,0.02
disturbed,W-11,05/24/13,Q2/13,2,0.004456328,6.8,,250,8,0.1,0.63,1.17,0.01,0.02
disturbed,W-11,09/27/13,Q3/13,2,0.004456328,6.9,,86,30,< 0.1,0.99,0.33,0.01,0.01
disturbed,W-11,12/06/13,Q4/13,722,1.608734403,7.8,,64,10,< 0.1,0.55,1.63,0.01,0.01
disturbed,W-11,03/31/14,Q1/14,No Flow,#VALUE!,,,,,,,,,
disturbed,W-11,04/03/14,Q2/14,276,0.614973262,7.4,,226,6,< 0.1,0.08,0.27,0.03,0.05
baseline,SW-3(B-2),10/27/1987,Q4/87,,0,,,,,,,,,
baseline,SW-3(B-2),11/13/1987,Q4/87,,0,6.9,120.0,,,,,,,
baseline,SW-3(B-2),12/15/1987,Q4/87,,0.51,6.6,78.0,,,,,,,
baseline,SW-3(B-2),1/13/1988,Q1/88,,2.38,6.4,55.0,,,,,,,
baseline,SW-3(B-2),2/23/1988,Q1/88,,0.23,6.7,165.0,,,,,,,
baseline,SW-3(B-2),3/22/1988,Q1/88,,0.12,7.0,240.0,,,,,,,
baseline,SW-3(B-2),4/28/1988,Q2/88,,0.03,6.9,264.0,,,,,,,
baseline,SW-3(B-2),5/18/1988,Q2/88,,0,,,,,,,,,
baseline,SW-3(B-2),6/28/1988,Q2/88,,0,,,,,,,,,
baseline,SW-3(B-2),7/21/1988,Q3/88,,0,,,,,,,,,
baseline,SW-3(B-2),8/18/1988,Q3/88,,0,,,,,,,,,
baseline,SW-3(B-2),9/28/1988,Q3/88,,0,,,,,,,,,
baseline,SW-3(B-2),10/22/1988,Q4/88,,0,,,,,,,,,
baseline,SW-3(B-2),11/16/1988,Q4/88,,0.018,7.8,76,,,,,,,
baseline,SW-3(B-2),12/13/1988,Q4/88,,0.35,7.5,80,,,,,,,
baseline,SW-3(B-2),1/24/1989,Q1/89,,0,,,,,,,,,
baseline,SW-4(B-2),10/27/1987,Q4/87,,0,6.8,90,,,,,,,
baseline,SW-4(B-2),11/13/1987,Q4/87,,0,6.7,110,,,,,,,
baseline,SW-4(B-2),12/15/1987,Q4/87,,5.3,6.5,125,,,,,,,
baseline,SW-4(B-2),1/13/1988,Q1/88,,6.43,6.5,100,,,,,,,
